,county,xylenes_total
566,"Comanche, Kansas",0.3923076923076923
567,"Comanche, Oklahoma",0.0
568,"Comanche, Texas",0.0
569,"Concho, Texas",0.0
570,"Concordia, Louisiana",0.0
571,"Conecuh, Alabama",0.0
572,"Contra costa, California",0.0
573,"Converse, Wyoming",0.0
574,"Conway, Arkansas",0.0
575,"Cook, Illinois",0.20811520737327194
576,"Cook, Minnesota",0.096875
577,"Cooke, Texas",0.8242
578,"Cooper, Missouri",0.0
579,"Coos, New Hampshire",0.020224719101123598
580,"Coos, Oregon",0.0
581,"Coosa, Alabama",0.0
582,"Corson, South Dakota",0.0
583,"Coryell, Texas",0.43846153846153846
584,"Coshocton, Ohio",0.0
585,"Cottle, Texas",0.0
586,"Cotton, Oklahoma",0.3514285714285714
587,"Cottonwood county, Minnesota",0.0
588,"Cottonwood, Minnesota",0.0
589,"Covington, Alabama",0.04093220338983051
590,"Covington, Virginia",0.0
591,"Cowley, Kansas",0.15806451612903227
592,"Cowlitz, Washington",0.17882352941176471
593,"Craig, Oklahoma",0.0
594,"Craig, Virginia",0.0
595,"Craighead, Arkansas",1.1884090909090907
596,"Crane, Texas",0.0
597,"Craven, North Carolina",0.014583333333333332
598,"Crawford county, Pennsylvania",0.0
599,"Crawford, Arkansas",0.09380952380952381
600,"Crawford, Illinois",0.0
601,"Crawford, Indiana",0.0
602,"Crawford, Iowa",1.0999999999999999
603,"Crawford, Kansas",1.1683333333333334
604,"Crawford, Michigan",0.0
605,"Crawford, Missouri",0.057241379310344835
606,"Crawford, Ohio",0.0
607,"Crawford, Pennsylvania",0.027777777777777776
608,"Crawford, Wisconsin",0.0
609,"Creek, Oklahoma",0.02248062015503876
610,"Crenshaw, Alabama",0.37974358974358974
611,"Crittenden, Arkansas",0.019625
612,"Crittenden, Kentucky",0.0
613,"Crockett, Tennessee",0.0
614,"Crockett, Texas",0.0
615,"Crook, Oregon",0.0
616,"Crook, Wyoming",0.0
617,"Crosby, Texas",0.0
618,"Cross, Arkansas",0.0
619,"Crow wing, Minnesota",0.015
620,"Culberson, Texas",0.5191666666666667
621,"Cullman, Alabama",0.0
622,"Culpeper, Virginia",8.013454545454545
623,"Cumberland county, Pennsylvania",0.0
624,"Cumberland, Illinois",0.0
625,"Cumberland, Kentucky",0.0
626,"Cumberland, Maine",0.0
627,"Cumberland, New Jersey",0.0062890625
628,"Cumberland, North Carolina",0.039259259259259265
629,"Cumberland, Pennsylvania",0.008629441624365483
630,"Cumberland, Tennessee",0.0
631,"Cumberland, Virginia",0.0
632,"Cuming, Nebraska",0.0
633,"Currituck, North Carolina",0.276271186440678
634,"Curry, New Mexico",0.1193258426966292
635,"Curry, Oregon",0.0
636,"Custer, Idaho",0.0
637,"Custer, Montana",0.0
638,"Custer, Nebraska",0.0
639,"Custer, Oklahoma",0.019230769230769232
640,"Custer, South Dakota",0.0
641,"Cuyahoga, Ohio",0.0
642,"Dade, Florida",0.0
643,"Dade, Missouri",0.0
644,"Daggett, Utah",0.0
645,"Dakota, Minnesota",0.10722513089005238
646,"Dakota, Nebraska",0.0
647,"Dale, Alabama",0.5350039361702127
648,"Dallam, Texas",0.33916666666666667
649,"Dallas, Alabama",0.06432432432432432
650,"Dallas, Arkansas",0.0
651,"Dallas, Iowa",0.6836734693877551
652,"Dallas, Missouri",0.07470588235294118
653,"Dallas, Texas",0.0
654,"Dane, Wisconsin",0.06518169582772543
655,"Daniels, Montana",0.0
656,"Danville, Virginia",0.0
657,"Dare, North Carolina",0.39444444444444454
658,"Darke, Ohio",1.7036764705882352
659,"Darlington, South Carolina",0.0
660,"Dauphin county, Pennsylvania",0.0
661,"Dauphin, Pennsylvania",0.018351063829787236
662,"Davidson, North Carolina",0.0
663,"Davidson, Tennessee",0.0
664,"Davie, North Carolina",0.03111111111111111
665,"Daviess, Indiana",0.0
666,"Daviess, Kentucky",0.0
667,"Daviess, Missouri",0.0
668,"Davis, Iowa",0.15166666666666667
669,"Davis, Utah",0.0
670,"Dawes, Nebraska",0.0
671,"Dawson, Montana",0.0
672,"Dawson, Nebraska",0.0
673,"Dawson, Texas",0.0
674,"Day, South Dakota",0.0
675,"De baca, New Mexico",0.0
676,"De kalb, Indiana",0.0
677,"De kalb, Missouri",2.76
678,"De soto, Florida",0.0
679,"De soto, Louisiana",0.024285714285714285
680,"De witt, Illinois",0.024511111111111112
681,"Deaf smith, Texas",0.0
682,"Dearborn, Indiana",0.0
683,"Decatur, Indiana",0.0
684,"Decatur, Iowa",0.5777777777777778
685,"Decatur, Kansas",0.0
686,"Decatur, Tennessee",0.0
687,"Deer lodge, Montana",0.0
688,"Defiance, Ohio",0.29
689,"Dekalb, Alabama",0.02258064516129032
690,"Dekalb, Illinois",0.0
691,"Dekalb, Indiana",0.0
692,"Dekalb, Missouri",0.0
693,"Dekalb, Tennessee",0.0
694,"Del norte county, California",0.0
695,"Del norte, California",0.0
696,"Delaware, Indiana",0.34516129032258064
697,"Delaware, Iowa",0.031818181818181815
698,"Delaware, Ohio",0.0
699,"Delaware, Oklahoma",0.0875
700,"Delaware, Pennsylvania",0.0
701,"Delta, Michigan",0.2114285714285714
702,"Delta, Texas",0.0
703,"Denali, Alaska",0.0
704,"Dent, Missouri",0.0
705,"Denton, Texas",0.0929891304347826
706,"Des moines, Iowa",0.06999999999999999
707,"Deschutes, Oregon",0.009302325581395349
708,"Desha, Arkansas",1.0885714285714285
709,"Desoto, Florida",0.8433962264150943
710,"Deuel, Nebraska",0.013888888888888888
711,"Dewey, Oklahoma",0.0
712,"Dewey, South Dakota",0.0
713,"Dewitt, Texas",0.24375
714,"Dickens, Texas",0.0
715,"Dickenson, Virginia",0.0
716,"Dickey, North Dakota",0.0
